name,update_time,cars,motorcycles,ev_cars,ev_motorcycles,disabled,lt_8m,gt_8m,scrape_time,hour,english_name,category
蓮花路 (重型),2025-10-21 00:42:19,0,0,0,0,0,154.0,43.0,2025-10-21 00:43:02,0.0,Lotus Road (Heavy) (Liánhuā Lù (Zhòng Xíng)),Residential
塔石廣場地下上落客區(重型客車),2025-10-21 00:42:44,5,0,0,0,0,,,2025-10-21 00:43:02,0.0,Ta Shi Plaza Underground Drop-off Area (Heavy Vehicle) (Tǎshí Guǎngchǎng Dìxià Shàngluò Kè Qū (Zhòng Xíng Kè Chē)),Work
下環街市,2025-10-21 00:42:22,5,52,2,9,2,,,2025-10-21 00:43:02,0.0,Xia Huan Market (Xià Huán Jiē Shì),Residential
永寧街,2025-10-21 00:42:44,0,0,0,14,1,,,2025-10-21 00:43:02,0.0,Yong Ning Street (Yǒngníng Jiē),Work
交通事務局大樓,2025-10-21 00:42:31,55,142,6,2,2,,,2025-10-21 00:43:02,0.0,Transport Bureau Building (Jiāotōng Shìwùjú Dàlóu),Residential
氹仔中央公園,2025-10-21 00:42:43,373,1184,91,17,14,,,2025-10-21 00:43:02,0.0,Taipa Central Park (Dàngzǎi Zhōngyāng Gōngyuán),Work
日昇樓,2025-10-21 00:42:43,196,260,27,15,4,,,2025-10-21 00:43:02,0.0,Ri Sheng Building (Rìshēng Lóu),Residential
日暉大廈,2025-10-21 00:42:39,3,111,4,12,1,,,2025-10-21 00:43:02,0.0,Ri Hui Building (Rìhuī Dàshà),Residential
台暉樓,2025-10-21 00:42:41,0,30,2,9,2,,,2025-10-21 00:43:02,0.0,Tai Hui Building (Táihuī Lóu),Work
氹仔客運碼頭,2025-10-21 00:42:27,457,152,74,15,16,,,2025-10-21 00:43:02,0.0,Taipa Passenger Terminal (Dàngzǎi Kèyùn Mǎtóu),Residential
何賢公園,2025-10-21 00:42:45,291,449,17,2,4,,,2025-10-21 00:43:02,0.0,He Xian Park (Héxián Gōngyuán),Residential
宋玉生廣場,2025-10-21 00:42:44,499,0,28,0,7,,,2025-10-21 00:43:02,0.0,Song Yu Sheng Square (Sòng Yù Shēng Guǎngchǎng),Residential
